gap,doping,Electronegativity,R,OH,adsorbent,out
0.884,1,2.2,145,1,1,-44.05081548
0.884,1,2.2,145,1,3,-44.13144391
0.884,1,2.2,145,1,4,-43.29411895
0.884,1,2.2,145,1,2,-44.79360012
0.884,1,2.2,145,1,1,-45.55384273
0.884,1,2.2,145,1,3,-45.63447116
0.884,1,2.2,145,1,4,-44.7971462
0.62,2,2.2,145,2,1,-4.28088353
0.62,2,2.2,145,2,3,-3.177089011
0.62,2,2.2,145,2,4,-4.181504611
0.62,2,2.2,145,2,2,-2.649367677
0.765,3,2.2,145,3,3,-21.3326083
0.765,3,2.2,145,3,1,-19.30581381
0.765,3,2.2,145,3,4,-22.55222936
0.765,3,2.2,145,3,2,-23.68509245
0.858,1,2.96,114,1,1,-78.5844534
0.858,1,2.96,114,1,2,-85.97514561
0.858,1,2.96,114,1,5,-78.48078255
0.858,1,2.96,114,1,3,-79.64515951
0.858,1,2.96,114,1,1,-55.96796382
0.858,1,2.96,114,1,2,-63.35865603
0.858,1,2.96,114,1,5,-55.86429298
0.858,1,2.96,114,1,3,-57.02866993
0.858,1,2.96,114,1,1,-57.58457957
0.858,1,2.96,114,1,2,-64.97527178
0.858,1,2.96,114,1,5,-57.48090872
1.058,1,2.96,114,1,3,-58.64528568
1.058,2,2.96,114,2,2,-45.40971915
1.058,2,2.96,114,2,1,-42.82773688
1.058,2,2.96,114,2,5,-44.75295927
1.175,2,2.96,114,2,3,-44.04767226
1.175,3,2.96,114,3,4,-49.46145286
1.175,3,2.96,114,3,2,-51.1138738
1.175,3,2.96,114,3,1,-49.31745286
1.175,3,2.96,114,3,3,-52.7609114
1.064,1,3.16,99,1,2,-42.10625876
1.064,1,3.16,99,1,5,-39.87985683
1.064,1,3.16,99,1,3,-39.84205779
1.064,1,3.16,99,1,1,-47.16563367
1.064,1,3.16,99,1,2,-49.91581911
1.064,1,3.16,99,1,5,-47.68941718
1.064,1,3.16,99,1,3,-47.65161814
1.064,1,3.16,99,1,1,-54.97519402
1.064,1,3.16,99,1,2,-84.29411993
1.064,1,3.16,99,1,5,-82.067718
1.064,1,3.16,99,1,3,-82.02991896
1.064,1,3.16,99,1,1,-89.35349484
1.072,2,3.16,99,2,2,-52.49462446
1.072,2,3.16,99,2,4,-51.09337398
1.072,2,3.16,99,2,1,-50.33673753
1.072,2,3.16,99,2,5,-49.14958807
1.062,3,3.16,99,3,1,-81.89270331
1.062,3,3.16,99,3,3,-79.55009559
1.062,3,3.16,99,3,2,-80.15141537
1.062,3,3.16,99,3,4,-80.7414207
1.046,1,2.66,133,1,1,-34.13002842
1.046,1,2.66,133,1,4,-34.72169701
1.046,1,2.66,133,1,3,-29.68491165
1.046,1,2.66,133,1,3,-30.63129621
1.046,1,2.66,133,1,1,-40.70850556
1.046,1,2.66,133,1,4,-41.30017414
1.046,1,2.66,133,1,3,-36.26338879
1.046,1,2.66,133,1,3,-37.20977334
1.046,1,2.66,133,1,1,-54.84240803
1.046,1,2.66,133,1,4,-55.43407661
1.046,1,2.66,133,1,3,-50.39729126
1.046,1,2.66,133,1,3,-51.34367581
0.959,2,2.66,133,2,1,-43.37692997
0.959,2,2.66,133,2,2,-37.18165792
0.959,2,2.66,133,2,2,-37.62984641
0.959,2,2.66,133,2,4,-39.71881143
1.03,3,2.66,133,3,4,-58.86883039
1.03,3,2.66,133,3,1,-60.68548798
1.03,3,2.66,133,3,2,-62.86726431
1.03,3,2.66,133,3,3,-62.16084224
1.203,1,3.98,64,1,2,-53.52540228
1.203,1,3.98,64,1,1,-51.71375831
1.203,1,3.98,64,1,3,-52.06121486
1.203,1,3.98,64,1,5,-51.29186089
1.203,1,3.98,64,1,2,-55.80062382
1.203,1,3.98,64,1,1,-53.98897985
1.203,1,3.98,64,1,3,-54.3364364
1.203,1,3.98,64,1,5,-53.56708243
1.203,1,3.98,64,1,2,-52.51181372
1.203,1,3.98,64,1,1,-50.70016975
1.203,1,3.98,64,1,3,-51.04762631
1.203,1,3.98,64,1,5,-50.27827233
0.751,2,3.98,64,2,2,-79.83948049
0.751,2,3.98,64,2,4,-72.45168067
0.751,2,3.98,64,2,1,-73.65914822
0.751,2,3.98,64,2,3,-74.48269493
0.99,3,3.98,64,3,1,-87.2906482
0.99,3,3.98,64,3,4,-75.51028258
0.99,3,3.98,64,3,2,-82.4631412
0.99,3,3.98,64,3,5,-82.84826648
